Date	Subscribers	Views		Subscriber 2	Views 2		Subscibers 3	Views 3		Subscribers 4	Views 4
17-Aug-19	1063579			51331			117				
18-Aug-19	1069302			51586							
19-Aug-19	1080876	170486421		52285			4333				
20-Aug-19	1095808			52696			6148				
21-Aug-19	1102595			52987			6438				
22-Aug-19	1108322			53216			6557				
23-Aug-19	1113667			53389			6562				
24-Aug-19	1118918			53784			6592				
25-Aug-19	1127086			54162			6623				
26-Aug-19	1133747			54445			6654				
27-Aug-19	1141107	178772347		54726			6685				
28-Aug-19	1148854			54974			6716				
29-Aug-19	1154542			55175			6747				
30-Aug-19	1160126			55416			6778				
31-Aug-19	1164803			55691			6809				
1-Sep-19	1170614	183397593		55965	621887		6839	83543			
2-Sep-19	1176535			56187			6870				
3-Sep-19	1182761			56479			6901				
4-Sep-19	1188436	185586676		56752			6932				
5-Sep-19	1191016			56906			6963				
6-Sep-19	1194131			57797			6994				
7-Sep-19	1197190			58962			7025				
8-Sep-19	1200885			59620			7056				
9-Sep-19	1204500			66920			7086				
10-Sep-19	1209107			69938			7117				
11-Sep-19	1212320			70925			7148				
12-Sep-19	1214885	190859816		71807			7179				
13-Sep-19	1217916			72305			7210				
14-Sep-19	1219570			72680			7241				
15-Sep-19	1224344			73719			7272				
16-Sep-19	1230838			74309			7303				
17-Sep-19	1235638			74555			7333				
18-Sep-19	1230000			74899			7364				
19-Sep-19	1240000			75099			7395				
20-Sep-19		197115288		75200			7426				
21-Sep-19				75400			7457				
22-Sep-19	1250000			75600			7488				
23-Sep-19				75800			7519				
24-Sep-19				76000			7550				
25-Sep-19	1260000			76300			7581				
26-Sep-19				76500			7611				
27-Sep-19				76700			7642				
28-Sep-19	1270000	202516025		76900			7673				
29-Sep-19				77700			7704				
30-Sep-19				78000			7735				
1-Oct-19	1280000	204595808		78100	927403		7766	94958		10	519
2-Oct-19				78200			7797				
3-Oct-19				78400			7828				
4-Oct-19				78500			7858				
5-Oct-19				78699			7889				
6-Oct-19	1285000	206773130		78800			7920				
7-Oct-19	1290000			78960			7951				
8-Oct-19				79120			7982				
9-Oct-19				79280			8013				
10-Oct-19				79440			8044				
11-Oct-19	1300000			79599			8075				
12-Oct-19				79760			8105				
13-Oct-19		211988535		79920			8136				
14-Oct-19				80080			8167				
15-Oct-19	1310000			80240			8198				
16-Oct-19				80400			8229				
17-Oct-19				80471			8260				
18-Oct-19				80542			8291				
19-Oct-19	1320000			80614			8322				
20-Oct-19				80685			8352				
21-Oct-19				80757			8383				
22-Oct-19	1330000			80828			8414				
23-Oct-19				80900			8445				
24-Oct-19				80971			8476				
25-Oct-19				81042			8507				
26-Oct-19				81113			8538				
27-Oct-19	1340000			81185			8569				
28-Oct-19				81257			8600				
29-Oct-19				81328			8607				
30-Oct-19				81400			8614				
31-Oct-19				81480			8621				
1-Nov-19		221106745		81561	981568		8628	102004		11	
2-Nov-19				81642			8635				
3-Nov-19	1350000			81723			8642				
4-Nov-19				81804			8650				
5-Nov-19				81885			8664				
6-Nov-19				81966			8679				
7-Nov-19				82047			8694				
8-Nov-19				82128			8709				
9-Nov-19				82209			8723				
10-Nov-19				82290			8738				
11-Nov-19				82371			8753				
12-Nov-19				82452			8768				
13-Nov-19	1360000			82533			8782				
14-Nov-19				82614			8797				
15-Nov-19				82694			8812				
16-Nov-19	1370000			82776			8827				
17-Nov-19				82857			8841				
18-Nov-19				82938			8856				
19-Nov-19				83018			8871				
20-Nov-19	1380000			83100			8886				
21-Nov-19				83252			8900				
22-Nov-19				83404			8915				
23-Nov-19				83557			8930				
24-Nov-19	1390000			83709			8945				
25-Nov-19				83861			8960				
26-Nov-19				84014			8980				
27-Nov-19				84166			9000				
28-Nov-19				84318			9020				
29-Nov-19				84471			9040				
30-Nov-19				84623			9060				
1-Dec-19	1400000	233463814		84700	1029307		9080	108357			
2-Dec-19				84900			9100				
3-Dec-19	1410000			85000			9120				
4-Dec-19				85100			9140				
5-Dec-19				85300			9170				
6-Dec-19				85400			9200				
7-Dec-19	1420000			85500			9220				
8-Dec-19				85700			9250				
9-Dec-19				85800			9280				
10-Dec-19				85900			9290				
11-Dec-19	1430000			86100			9300				
12-Dec-19				86200			9320				
13-Dec-19				86300			9330				
14-Dec-19				86500			9350				
15-Dec-19				86600			9360				
16-Dec-19				86700			9380				
17-Dec-19	1440000			86900			9390				
18-Dec-19				87000			9410				
19-Dec-19				87200			9420				
20-Dec-19							9440				
21-Dec-19				87300			9460				
22-Dec-19				87400			9470				
23-Dec-19	1450000			87500			9490				
24-Dec-19				87600			9510				
25-Dec-19				87700			9520				
26-Dec-19				87800			9540				
27-Dec-19				87900			9560				
28-Dec-19				88000			9570				
29-Dec-19				88200			9590				
30-Dec-19				88300			9610				
31-Dec-19	1460000			88400			9620				
1-Jan-20		246484774		88600	1090519		9640	116132			520
2-Jan-20				88700			9660				
3-Jan-20				88800			9680				
4-Jan-20				88900			9700				
5-Jan-20				89000			9720				
6-Jan-20				89100			9740				
7-Jan-20	1470000			89200			9750				
8-Jan-20				89300			9760				
9-Jan-20							9770				
10-Jan-20				89400			9780				
11-Jan-20							9790				
12-Jan-20				89500			9800				
13-Jan-20							9810				
14-Jan-20				89600							
15-Jan-20				89700			9820				
16-Jan-20											
17-Jan-20				89800			9830				
18-Jan-20											
19-Jan-20				89900			9840				
20-Jan-20							9850				
21-Jan-20	1480000			90000							
22-Jan-20				90100							
23-Jan-20							9860				
24-Jan-20											
25-Jan-20				90200			9870				
26-Jan-20											
27-Jan-20				90300			9880				
28-Jan-20											
29-Jan-20				90400			9890				
30-Jan-20							9900				
31-Jan-20				90500			9910				
1-Feb-20		254415885		90600	1132062		9920	121257			
2-Feb-20				90700							
3-Feb-20				90800			9930				
4-Feb-20				90900			9940				
5-Feb-20	1490000			91000			9950				
6-Feb-20				91100			9960				
7-Feb-20				91200			9970				
8-Feb-20				91300			9990				
9-Feb-20				91400			10000				
10-Feb-20				91500							
11-Feb-20				91600							
12-Feb-20				91700							
13-Feb-20				91800							
14-Feb-20	1500000										
15-Feb-20				91900							
16-Feb-20				92000			10100				
17-Feb-20				92100							
18-Feb-20				92200							
19-Feb-20				92300							
20-Feb-20				92400							
21-Feb-20				92500			10200				
22-Feb-20				92600							
23-Feb-20	1510000			92700							
24-Feb-20				92800							
25-Feb-20				92900							
26-Feb-20				93000			10300				
27-Feb-20				93100							
28-Feb-20				93200							
29-Feb-20				93300							
1-Mar-20		265286115		93400	1173291		10400	127849			525
2-Mar-20											
3-Mar-20											
4-Mar-20				93500							
5-Mar-20											
6-Mar-20				93600			10500				
7-Mar-20				93700							
8-Mar-20	1520000			93900							
9-Mar-20				94100							
10-Mar-20				94300							
11-Mar-20				94600			10600				
12-Mar-20	1530000			94800							
13-Mar-20				95000							
14-Mar-20				95300							
15-Mar-20				95500			10700				
16-Mar-20	1540000			95700							
17-Mar-20				95900							
18-Mar-20				96200							
19-Mar-20				96400							
20-Mar-20				96600			10800				
21-Mar-20	1550000			96900							
22-Mar-20				97100							
23-Mar-20				97300							
24-Mar-20				97500							
25-Mar-20	1560000			97800			10900				
26-Mar-20				98000							
27-Mar-20				98200							
28-Mar-20				98500							
29-Mar-20	1570000			98700			11000				
30-Mar-20				98900							
31-Mar-20				99200							
1-Apr-20	1580000	282797377		99400	1237848		11100	138123		12	537
2-Apr-20				99600							
3-Apr-20				99800							
4-Apr-20	1590000			100000							
5-Apr-20											
6-Apr-20											
7-Apr-20							11200				
8-Apr-20	1600000			101000							
9-Apr-20											
10-Apr-20	1610000						11300				
11-Apr-20											
12-Apr-20											
13-Apr-20				102000			11400				
14-Apr-20	1620000										
15-Apr-20											
16-Apr-20							11500				
17-Apr-20	1630000			103000							
18-Apr-20											
19-Apr-20							11600				
20-Apr-20											
21-Apr-20	1640000			104000							
22-Apr-20							11700				
23-Apr-20											
24-Apr-20											
25-Apr-20	1650000										
26-Apr-20				105000			11800				
27-Apr-20											
28-Apr-20											
29-Apr-20	1660000						11900				
30-Apr-20	1670000			106000							
1-May-20	1680000	306315296		107000	1344498		12000	152633			538
2-May-20											
3-May-20											
4-May-20	1690000										
5-May-20											
6-May-20	1700000						12100				
7-May-20				108000							
8-May-20											
9-May-20	1710000			109000			12200				
10-May-20											
11-May-20	1720000			110000							
12-May-20							12300				
13-May-20											
14-May-20				111000							
15-May-20	1730000										
16-May-20				112000			12400	160367			
17-May-20											
18-May-20	1740000			113000							
19-May-20											
20-May-20	1750000			114000			12500				
21-May-20											
22-May-20											
23-May-20											
24-May-20	1760000			115000			12600				
25-May-20											
26-May-20							12700	164574			
27-May-20											
28-May-20	1770000			116000							
29-May-20											
30-May-20	1780000										
31-May-20											
1-Jun-20		329159910		117000	1568541		12800	166861			540
2-Jun-20											
3-Jun-20	1790000										
4-Jun-20							12900	168341			
5-Jun-20	1800000			118000							
6-Jun-20											
7-Jun-20											
8-Jun-20											
9-Jun-20				119000			13000				
10-Jun-20	1810000										
11-Jun-20											
12-Jun-20				120000							
13-Jun-20	1820000						13100				
14-Jun-20	1830000							172844			
15-Jun-20											
16-Jun-20	1840000			121000			13200				
17-Jun-20											
18-Jun-20											
19-Jun-20	1850000			122000			13300				
20-Jun-20											
21-Jun-20							13400				
22-Jun-20											
23-Jun-20	1860000			123000							
24-Jun-20							13500				
25-Jun-20											
26-Jun-20				124000			13600				
27-Jun-20							13400	177826			
28-Jun-20	1870000										
29-Jun-20				125000			13700				
30-Jun-20											
1-Jul-20	1880000	346649088								14	581
2-Jul-20				124000	1703591		13800	179971			
3-Jul-20				126000							
4-Jul-20							13900				
5-Jul-20	1890000										
6-Jul-20				127000							
7-Jul-20							14000	182402			
8-Jul-20											
9-Jul-20	1900000						14100				
10-Jul-20				128000							
11-Jul-20											
12-Jul-20	1910000						14200				
13-Jul-20				129000							
14-Jul-20	1920000										
15-Jul-20	1930000						14300	187763			
16-Jul-20	1940000			130000							
17-Jul-20	1950000						14400				
18-Jul-20	1960000			131000							
19-Jul-20	2010000										
20-Jul-20	2020000			132000			14500				
21-Jul-20	2030000										
22-Jul-20				133000			14600				
23-Jul-20	2040000						14800	197787			
24-Jul-20				134000			14700				
25-Jul-20	2050000						14800				
26-Jul-20	2060000			135000							
27-Jul-20							14900				
28-Jul-20				136000			15000				
29-Jul-20											
30-Jul-20	2070000			137000			15100				
31-Jul-20	2080000						15200				
1-Aug-20	2090000	376160514		138000	1861024		15300	206769		15	632
2-Aug-20											
3-Aug-20	2110000			139000			15400				
4-Aug-20	2130000										
5-Aug-20	2140000			140000			15500				
6-Aug-20							15600				
7-Aug-20	2150000			141000			15700				
8-Aug-20	2160000										
9-Aug-20	2170000			142000							
10-Aug-20	2180000						15800	216958			
11-Aug-20	2190000			143000							
12-Aug-20	2200000						15900				
13-Aug-20	2210000			144000							
14-Aug-20							16000				
15-Aug-20	2220000			145000							
16-Aug-20	2250000										
17-Aug-20	2260000			146000			16100				
18-Aug-20				147000			16200	222831			
19-Aug-20	2270000										
20-Aug-20	2280000										
21-Aug-20	2290000			148000			16300				
22-Aug-20	2300000										
23-Aug-20	2310000						16400				
24-Aug-20	2320000			149000							
25-Aug-20							16500				
26-Aug-20	2330000										
27-Aug-20				150000			16600	230932			
28-Aug-20	2340000						16700				
29-Aug-20	2350000			151000							
30-Aug-20	2370000			152000			16800				
31-Aug-20	2410000			153000							
1-Sep-20	2420000	417439581		154000	2140162		16900	236123		16	692
2-Sep-20	2430000			155000			17000				
3-Sep-20	2440000			156000			17100				
4-Sep-20	2450000						17200	247303			
5-Sep-20	2460000			157000			17400				
6-Sep-20	2470000						17500				
7-Sep-20	2480000						17600				
8-Sep-20				158000			17800				
9-Sep-20	2490000						17900				
10-Sep-20	2500000						18000				
11-Sep-20	2510000			159000			18200				
12-Sep-20							18300	255156			
13-Sep-20	2530000			160000			18500				
14-Sep-20											
15-Sep-20	2540000										
16-Sep-20	2550000			161000			18600				
17-Sep-20											
18-Sep-20							18700				
19-Sep-20	2560000			162000							
20-Sep-20	2570000						18800	261403			
21-Sep-20				163000							
22-Sep-20	2580000						18900				
23-Sep-20	2590000			164000							
24-Sep-20	2600000						19000				
25-Sep-20	2630000			165000							
26-Sep-20	2640000			166000			19100				
27-Sep-20	2650000										
28-Sep-20	2660000			167000			19200	267494			
29-Sep-20	2680000			168000			19300				
30-Sep-20	2690000										
1-Oct-20	2700000	447264374		169000	2274105		19400	270593		17	750
2-Oct-20	2720000			170000			19500				
3-Oct-20	2730000										
4-Oct-20	2740000			171000			19600				
5-Oct-20	2750000						19700				
6-Oct-20	2760000			172000			19900	275783			
7-Oct-20	2780000						19800				
