Date	Subscribers	Views		Subscriber 2	Views 2		Subscibers 3	Views 3		Subscribers 4	Views 4
28-Oct-13	0	0					58	20000		0	17
29-Oct-13											
30-Oct-13											
31-Oct-13											
1-Nov-13											
2-Nov-13											
3-Nov-13											
4-Nov-13											
5-Nov-13											
6-Nov-13											
7-Nov-13											
8-Nov-13											
9-Nov-13											
10-Nov-13											
11-Nov-13											
12-Nov-13											
13-Nov-13											
14-Nov-13											
15-Nov-13											
16-Nov-13											
17-Nov-13											
18-Nov-13											
19-Nov-13											
20-Nov-13											
21-Nov-13											
22-Nov-13											
23-Nov-13											
24-Nov-13											
25-Nov-13											
26-Nov-13											
27-Nov-13											
28-Nov-13											
29-Nov-13											
30-Nov-13											
1-Dec-13											
2-Dec-13											
3-Dec-13											
4-Dec-13											
5-Dec-13											
6-Dec-13											
7-Dec-13											
8-Dec-13											
9-Dec-13											
10-Dec-13											
11-Dec-13											
12-Dec-13											
13-Dec-13											
14-Dec-13											
15-Dec-13											
16-Dec-13											
17-Dec-13											
18-Dec-13											
19-Dec-13											
20-Dec-13											
21-Dec-13											
22-Dec-13											
23-Dec-13											
24-Dec-13											
25-Dec-13											
26-Dec-13											
27-Dec-13											
28-Dec-13											
29-Dec-13											
30-Dec-13											
31-Dec-13											
1-Jan-14											
2-Jan-14											
3-Jan-14											
4-Jan-14											
5-Jan-14											
6-Jan-14											
7-Jan-14											
8-Jan-14											
9-Jan-14											
10-Jan-14											
11-Jan-14											
12-Jan-14											
13-Jan-14											
14-Jan-14											
15-Jan-14											
16-Jan-14											
17-Jan-14											
18-Jan-14											
19-Jan-14											
20-Jan-14											
21-Jan-14											
22-Jan-14											
23-Jan-14											
24-Jan-14											
25-Jan-14											
26-Jan-14											
27-Jan-14											
28-Jan-14											
29-Jan-14											
30-Jan-14											
31-Jan-14											
1-Feb-14											
2-Feb-14											
3-Feb-14											
4-Feb-14											
5-Feb-14											
6-Feb-14											
7-Feb-14											
8-Feb-14											
9-Feb-14											
10-Feb-14											
11-Feb-14											
12-Feb-14											
13-Feb-14											
14-Feb-14											
15-Feb-14											
16-Feb-14											
17-Feb-14											
18-Feb-14											
19-Feb-14											
20-Feb-14											
21-Feb-14											
22-Feb-14											
23-Feb-14											
24-Feb-14											
25-Feb-14											
26-Feb-14											
27-Feb-14											
28-Feb-14											
1-Mar-14											
2-Mar-14											
3-Mar-14											
4-Mar-14											
5-Mar-14											
6-Mar-14											
7-Mar-14											
8-Mar-14											
9-Mar-14											
10-Mar-14											
11-Mar-14											
12-Mar-14											
13-Mar-14											
14-Mar-14											
15-Mar-14											
16-Mar-14											
17-Mar-14											
18-Mar-14											
19-Mar-14											
20-Mar-14											
21-Mar-14											
22-Mar-14											
23-Mar-14											
24-Mar-14											
25-Mar-14											
26-Mar-14											
27-Mar-14											
28-Mar-14											
29-Mar-14											
30-Mar-14											
31-Mar-14											
1-Apr-14											
2-Apr-14											
3-Apr-14											
4-Apr-14											
5-Apr-14											
6-Apr-14											
7-Apr-14											
8-Apr-14											
9-Apr-14											
10-Apr-14											
11-Apr-14											
12-Apr-14											
13-Apr-14											
14-Apr-14											
15-Apr-14											
16-Apr-14											
17-Apr-14											
18-Apr-14											
19-Apr-14											
20-Apr-14											
21-Apr-14											
22-Apr-14											
23-Apr-14											
24-Apr-14											
25-Apr-14											
26-Apr-14											
27-Apr-14											
28-Apr-14											
29-Apr-14											
30-Apr-14	349	20133									
1-May-14	364	23147									
2-May-14	370	24058									
3-May-14	374	24580									
4-May-14	381	25143									
5-May-14	389	25745									
6-May-14	391	26053									
7-May-14	395	26299									
8-May-14	397	26454									
9-May-14	400	26696									
10-May-14											
11-May-14	401	26893									
12-May-14	419	27543									
13-May-14											
14-May-14		28030									
15-May-14	437	28548									
16-May-14	441	28928									
17-May-14											
18-May-14	445	29443									
19-May-14	450	30324									
20-May-14	457	30792									
21-May-14	461	31048									
22-May-14	462	31350									
23-May-14	465	31596									
24-May-14											
25-May-14	471	31812									
26-May-14	473	32223									
27-May-14	478	32838									
28-May-14	486	33315									
29-May-14	493	34421									
30-May-14	498	34897									
31-May-14	513	35357									
1-Jun-14	518										
2-Jun-14	533	36774									
3-Jun-14	545	37544									
4-Jun-14	566	38070									
5-Jun-14	574	38508									
6-Jun-14	587	38901									
7-Jun-14	602	40043									
8-Jun-14	615										
9-Jun-14	628	42529									
10-Jun-14	645	43611									
11-Jun-14	657	44609									
12-Jun-14											
13-Jun-14	674	46567									
14-Jun-14	684	47760									
15-Jun-14	696	48611									
16-Jun-14	708	49574									
17-Jun-14	717	50604									
18-Jun-14	741	51504									
19-Jun-14	750	52604									
20-Jun-14	772	54806									
21-Jun-14	797	56541									
22-Jun-14	816	58094									
23-Jun-14	838	59997									
24-Jun-14	857	61558									
25-Jun-14	886	63154									
26-Jun-14	918	65071									
27-Jun-14	934	66909									
28-Jun-14	957	69589									
29-Jun-14	982	71675									
30-Jun-14	1005	73426									
1-Jul-14	1037	75186									
2-Jul-14	1057	77309									
3-Jul-14	1077	79266									
4-Jul-14	1093	80713									
5-Jul-14	1111	83206									
6-Jul-14	1129										
7-Jul-14	1153	87684									
8-Jul-14	1180	90345									
9-Jul-14	1215	93159									
10-Jul-14	1235	96655									
11-Jul-14	1264										
12-Jul-14	1293	99677									
13-Jul-14	1318	105420									
14-Jul-14	1348	108579									
15-Jul-14	1365										
16-Jul-14	1391	115586									
17-Jul-14	1410	118225									
18-Jul-14	1435	121423									
19-Jul-14	1458	124689									
20-Jul-14	1481										
21-Jul-14	1509	130446									
22-Jul-14	1535	133817									
23-Jul-14	1557	136423									
24-Jul-14	1586	139125									
25-Jul-14	1607	142335									
26-Jul-14	1627	145500									
27-Jul-14	1654										
28-Jul-14	1681	151631									
29-Jul-14	1719	155022									
30-Jul-14	1746	159172									
31-Jul-14	1776	162837									
1-Aug-14	1809	166038									
2-Aug-14	1833	169126									
3-Aug-14	1863										
4-Aug-14	1900	175999									
5-Aug-14	1926	179527									
6-Aug-14	1958	184769									
7-Aug-14	2004	191214									
8-Aug-14	2032	194801									
9-Aug-14	2064	198742									
10-Aug-14	2101										
11-Aug-14	2135	206732									
12-Aug-14	2182	210992									
13-Aug-14	2222	215419									
14-Aug-14	2252										
15-Aug-14	2273	223728									
16-Aug-14	2302	228100									
17-Aug-14	2345										
18-Aug-14	2405	232549									
19-Aug-14	2440	238971									
20-Aug-14	2479	251493									
21-Aug-14	2518										
22-Aug-14	2560	260463									
23-Aug-14	2593										
24-Aug-14	2623	264621									
25-Aug-14	2648	273761									
26-Aug-14	2671	278091									
27-Aug-14	2710	282503									
28-Aug-14	2741	286699									
29-Aug-14	2783	290997									
30-Aug-14	2827	294956									
31-Aug-14	2859										
1-Sep-14	2891	306086									
2-Sep-14	2919	311346									
3-Sep-14	2946	315270									
4-Sep-14	2965	318908									
5-Sep-14	2984	321513									
6-Sep-14	3024	324347									
7-Sep-14	3052										
8-Sep-14	3091	334011									
9-Sep-14	3121	337937									
10-Sep-14	3148	342107									
11-Sep-14	3183	347523									
12-Sep-14	3202	353767									
13-Sep-14	3245	360232									
14-Sep-14	3284										
15-Sep-14	3316	378879									
16-Sep-14	3342	385525									
17-Sep-14	3357	390752									
18-Sep-14	3383	395579									
19-Sep-14	3403	398479									
20-Sep-14	3438	402024									
21-Sep-14	3477										
22-Sep-14	3502	413974									
23-Sep-14	3534	418550									
24-Sep-14	3564	423577									
25-Sep-14	3599	428865									
26-Sep-14	3623	435102									
27-Sep-14	3672	439789									
28-Sep-14	3706										
29-Sep-14	3732	452698									
30-Sep-14	3755	456692									
1-Oct-14	3773	460631									
2-Oct-14	3776	464533									
3-Oct-14	3813	468408									
4-Oct-14	3850	471945									
5-Oct-14	3873										
6-Oct-14	3895	462924									
7-Oct-14	3914	467051									
8-Oct-14	3930	470622									
9-Oct-14		476349									
10-Oct-14	3986	481814									
11-Oct-14	4021	486966									
12-Oct-14	4063										
13-Oct-14	4092	499775									
14-Oct-14	4120	505273									
15-Oct-14	4144	509805									
16-Oct-14	4164	514707									
17-Oct-14	4182	519432									
18-Oct-14	4208	524676									
19-Oct-14	4238										
20-Oct-14	4271	530831									
21-Oct-14	4295	541406									
22-Oct-14	4321	544680									
23-Oct-14	4344	549005									
24-Oct-14	4375	556463									
25-Oct-14	4407	562383									
26-Oct-14	4430										
27-Oct-14	4458	576243									
28-Oct-14	4486	582131									
29-Oct-14	4507	587281									
30-Oct-14	4520	592006									
31-Oct-14	4534	596790									
1-Nov-14	4565	602304									
2-Nov-14	4604										
3-Nov-14	4621	618521									
4-Nov-14	4641	624749									
5-Nov-14	4660	630404									
6-Nov-14	4673	634835									
7-Nov-14	4702	638764									
8-Nov-14	4730	644445									
9-Nov-14	4767										
10-Nov-14	4801	652032									
11-Nov-14	4825	666652									
12-Nov-14	4853	673698									
13-Nov-14	4897	680190									
14-Nov-14	4926	687011									
15-Nov-14	4970	693542									
16-Nov-14	5020										
17-Nov-14	5050	711388									
18-Nov-14	5077	717268									
19-Nov-14	5109	723016									
20-Nov-14	5132	729240									
21-Nov-14	5156	735284									
22-Nov-14	5192	740501									
23-Nov-14	5231										
24-Nov-14	5254	755059									
25-Nov-14	5280	761232									
26-Nov-14	5309	767818									
27-Nov-14	5336	775298									
28-Nov-14	5371	780857									
29-Nov-14	5422	787409									
30-Nov-14	5437										
1-Dec-14	5466	800829									
2-Dec-14	5458	805448									
3-Dec-14	5477	809007									
4-Dec-14	5504	813311									
5-Dec-14	5517	819476									
6-Dec-14	5542	825483									
7-Dec-14	5571										
8-Dec-14	5601	839885									
9-Dec-14	5625	845886									
10-Dec-14	5653										
11-Dec-14	5681	857889									
12-Dec-14	5704	863592									
13-Dec-14	5720	870083									
14-Dec-14	5780										
15-Dec-14	5867	894743									
16-Dec-14	5923										
17-Dec-14	6030	913935									
18-Dec-14	6178	925958									
19-Dec-14	6302	941264									
20-Dec-14	6429	954469									
21-Dec-14	6575										
22-Dec-14	6656	980784									
23-Dec-14	6757	991990									
24-Dec-14	6811	1005802									
25-Dec-14	6845	1016201									
26-Dec-14	6906	1026798									
27-Dec-14	6960	1040293									
28-Dec-14	7010										
29-Dec-14	7051	1062109									
30-Dec-14	7113	1072985									
31-Dec-14	7164	1083257									
1-Jan-15	7217	1093897									
2-Jan-15	7288	1108309									
3-Jan-15	7345	1123520									
4-Jan-15	7410										
5-Jan-15	7469	1138169									
6-Jan-15	7536	1150817									
7-Jan-15	7590	1163149									
8-Jan-15	7641	1172221									
9-Jan-15	7689	1180906									
10-Jan-15	7743	1187938									
11-Jan-15	7809										
12-Jan-15	7857	1209844									
13-Jan-15	7906										
14-Jan-15	7948	1227134									
15-Jan-15	7987	1235824									
16-Jan-15	8030	1243627									
17-Jan-15	8090	1253434									
18-Jan-15	8156										
19-Jan-15	8215	1275448									
20-Jan-15	8258	1286412									
21-Jan-15	8293										
22-Jan-15	8341	1304903									
23-Jan-15	8376	1314643									
24-Jan-15	8430	1323002									
25-Jan-15	8504										
26-Jan-15	8555	1333345									
27-Jan-15	8618	1354494									
28-Jan-15	8657										
29-Jan-15	8712	1374986									
30-Jan-15	8786	1383318									
31-Jan-15	8876	1392042									
1-Feb-15	8988										
2-Feb-15	9068	1404100									
3-Feb-15	9134	1425948									
4-Feb-15	9190										
5-Feb-15	9247	1441596									
6-Feb-15	9296	1451017									
7-Feb-15	9366	1461106									
8-Feb-15	9453										
9-Feb-15	9567	1474322									
10-Feb-15	9652	1497796									
11-Feb-15	9747										
12-Feb-15	9846	1520538									
13-Feb-15	9914	1530249									
14-Feb-15	10017										
15-Feb-15	10103	1541465									
16-Feb-15	10172	1565656									
17-Feb-15	10223	1580192									
18-Feb-15	10293										
19-Feb-15	10339	1604501									
20-Feb-15	10402	1616962									
21-Feb-15	10468	1627281									
22-Feb-15	10508										
23-Feb-15	10550										
24-Feb-15	10666										
25-Feb-15	10735	1638434									
26-Feb-15	10784	1683944									
27-Feb-15	10813										
28-Feb-15	10856	1704220									
1-Mar-15	10903										
2-Mar-15	10938	1726432									
3-Mar-15	10985										
4-Mar-15	11026	1736368									
5-Mar-15	11058	1745685									
6-Mar-15	11098										
7-Mar-15	11162										
8-Mar-15	11221										
9-Mar-15	11246										
10-Mar-15	11301	1788650									
11-Mar-15	11343	1801672									
12-Mar-15	11378	1812814									
13-Mar-15	11413	1834404									
14-Mar-15	11476	1844573									
15-Mar-15	11646	1855176									
16-Mar-15	11712	1881570									
17-Mar-15	11754										
18-Mar-15	11800										
19-Mar-15	11835	1904193									
20-Mar-15	11887										
21-Mar-15	11952	1915805									
22-Mar-15	12035										
23-Mar-15	12074										
24-Mar-15	12128	1958065									
25-Mar-15	12168	1969209									
26-Mar-15	12207	1980479									
27-Mar-15	12239	1992007									
28-Mar-15	12283	2016098									
29-Mar-15	12339										
30-Mar-15	12389	2033879									
31-Mar-15	12439	2048021									
1-Apr-15	12482	2060062									
2-Apr-15	12542	2087538									
3-Apr-15	12601	2102176									
4-Apr-15	12662										
5-Apr-15	12728	2117708									
6-Apr-15	12786	2148939									
7-Apr-15	12836	2164283									
8-Apr-15	12896	2179650									
